Sequence,Parent,Language,FG_item
,,,
0,,no linguistic content,
0,,uncertain,
1,,undetermined,
2,,undetermined (Iran),
0,,Mandaic,
0,,Persian,
0,,Phoenician,
0,,Sabaean,
0,,Egyptian,
0,Elamite,Elamite,Q500430
0,,Hattic,
0,Hurrian,Hurrian,Q512052
0,Hittite,Hittite,Q500429
0,Hittite,Hittite Logographic,Q500429
0,Ugaritic,Ugaritic,Q500431
0,,Urartian,
0,Arabic,Arabic,Q389598
0,Aramaic,Aramaic,Q393615
4,Akkadian,Eblaite,Q471146
0,Greek,Greek,Q172951
0,Hebrew,Hebrew,Q389600
5,Akkadian,Akkadian,Q471146
16,Akkadian,Late Babylonian,Q471146
5,Akkadian,Early Akkadian,Q471146
11,Akkadian,Middle Assyrian,Q471146
12,Akkadian,Middle Babylonian,Q471146
13,Akkadian,Middle Babylonian peripheral,Q471146
14,Akkadian,Neo-Assyrian,Q471146
15,Akkadian,Neo-Babylonian,Q471146
6,Akkadian,Old Akkadian,Q471146
8,Akkadian,Old Assyrian,Q471146
9,Akkadian,Old Babylonian,Q471146
10,Akkadian,Old Babylonian peripheral,Q471146
7,Akkadian,Ur III Akkadian,Q471146
17,Akkadian,Standard Babylonian,Q471146
3,Sumerian,Sumerian,Q471149
3,Sumerian,Sumerian,Q471149
3,Sumerian,Sumerian,Q471149
19,Sumerian,Udgalnun,Q471149
18,Sumerian,Emesal,Q471149
20,Sumerian,Syllabic,Q471149